RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30
394935,42,"Oklahoma City, OK",msa,OK,164750.0,195000.0,185000.5,191750.0,216297.5,240000.0,226000.0,217500.0,222523.5,234500.0,229450.0,231080.0,218805.0,218240.0,237750.0,236500.0,236990.0,263750.0,255726.0,258620.0,260850.0,237999.5,258923.5,255750.0,234700.0,249250.0,245780.0,231000.0,250500.0,268700.0,255900.0,269750.0,253500.0,275000.0,263700.0,257049.0,241766.0,262430.0,268500.0,274950.0,278426.5,282845.0,287360.0,292500.0,293000.0,294080.0,303140.0,290000.0,279878.0,314500.0,299961.0,320990.0,334900.0,337000.0,353412.5,350687.0,326061.5,334995.0,321385.0,329990.0,312752.0,300000.0,349900.0,316750.0,349032.5,334462.5,349999.0,319000.0,320912.0,342995.0,320990.0,315920.0,338900.0,317840.0,339989.0,353840.0,341170.0,339850.0
395012,43,"Raleigh, NC",msa,NC,287500.0,295000.0,320250.0,327500.0,331000.0,321500.0,325000.0,328000.0,330000.0,329000.0,344000.0,339995.0,359450.0,335000.0,337000.0,329500.0,343350.0,350000.0,337615.0,350000.0,353000.0,335000.0,355421.5,335000.0,333000.0,329945.0,332737.5,333500.0,335000.0,340000.0,335000.0,340000.0,343170.0,335200.0,352000.0,332000.0,323450.0,320820.0,344430.0,363195.0,356030.0,361858.0,374565.0,362845.5,378520.0,395000.0,392120.0,395099.5,420788.0,404000.0,417500.0,443000.0,450000.0,451950.0,454750.0,475000.0,462158.0,465000.0,471819.0,469900.0,457500.0,441158.0,426717.0,446655.0,436050.0,434990.0,438620.0,438170.0,459670.0,432000.0,438045.0,452480.0,414150.0,404260.0,435000.0,432623.5,414950.0,415000.0
394849,44,"Memphis, TN",msa,TN,304946.0,280700.0,282563.0,297571.0,279450.0,308047.0,285000.0,290145.0,273000.0,321518.0,302723.5,293000.0,304140.0,318602.0,287516.5,312672.5,321500.0,329900.0,275000.0,307880.0,294875.0,304492.5,289575.0,322225.0,326950.0,348323.0,305000.0,339950.0,299900.0,294650.0,305950.0,322900.0,333450.0,329900.0,382940.0,312900.0,305000.0,355950.0,351900.0,364250.0,362900.0,347050.0,332500.0,376070.0,368322.5,392000.0,382479.0,394000.0,335000.0,329485.0,355450.0,380000.0,362200.0,365865.0,364900.0,392945.0,369900.0,350000.0,381150.0,381000.0,394900.0,419925.0,399950.0,429900.0,379900.0,376550.0,359900.0,386100.0,359900.0,371490.0,369000.0,370000.0,399475.0,371900.0,354932.5,369900.0,375880.5,353945.0
395022,45,"Richmond, VA",msa,VA,322065.0,310717.0,310000.0,280295.5,299950.0,319583.5,341715.5,335500.0,308580.0,354950.0,359114.0,356451.0,288807.0,314250.0,315000.0,310700.0,330904.0,342138.0,366175.0,370109.0,353755.5,350780.0,366048.0,350315.0,320187.5,339449.5,341800.0,338990.0,359990.0,371062.0,356820.0,350000.0,343958.0,360326.5,354987.5,370570.0,340006.5,345000.0,367836.0,381560.0,367770.0,378423.0,381790.0,387035.5,384407.5,394855.0,389160.5,394975.0,433000.0,440117.5,416542.5,435987.0,440990.0,421382.5,450892.5,454977.5,451200.0,437479.5,464950.0,394950.0,434842.0,450140.0,409000.0,451750.0,438910.0,446280.0,438976.0,447270.0,410502.5,436835.0,466750.0,437755.0,442760.0,490360.5,453850.0,470958.0,485000.0,473490.0
394807,46,"Louisville, KY",msa,KY,259995.0,271500.0,259850.0,264220.0,264950.0,261568.0,246092.5,250000.0,265000.0,260775.0,289450.0,267070.5,312416.0,275000.0,293900.0,247500.0,260000.0,272000.0,295900.0,274900.0,262500.0,279975.0,289500.0,279272.5,271000.0,293151.0,277450.0,276336.5,289950.0,289900.0,273800.0,291000.0,270900.0,281901.5,305500.0,297875.0,293445.0,278986.31,311304.0,292990.0,298889.0,315814.0,332475.0,310200.0,335101.0,340705.0,331000.0,341530.5,329900.0,339000.0,333950.0,341542.5,339000.0,332395.0,359670.0,364900.0,344959.0,364705.0,328200.0,330000.0,349002.5,344950.0,324800.0,343910.0,350950.0,350325.0,351736.5,339900.0,323000.0,343688.5,373349.0,357823.5,353354.5,312556.0,350000.0,344900.0,355000.0,322400.0
394910,47,"New Orleans, LA",msa,LA,214900.0,200900.0,247000.0,208750.0,190000.0,214000.0,196500.0,209000.0,212752.5,210545.0,256000.0,230620.0,182605.0,207250.0,195000.0,209500.0,217690.0,249450.0,245900.0,238750.0,258242.5,234000.0,260450.0,248000.0,234600.0,219500.0,233640.0,270750.0,249000.0,249950.0,255500.0,255000.0,283900.0,284900.0,287950.0,299450.0,278950.0,298000.0,287500.0,304000.0,297350.0,330000.0,299499.5,323075.0,345500.0,311700.0,329000.0,333000.0,306250.0,299950.0,300000.0,305000.0,320227.5,301000.0,299450.0,278490.0,281910.0,290000.0,300900.0,285000.0,264250.0,269292.5,282000.0,293895.0,271460.0,304075.0,272255.0,275537.5,276830.0,285000.0,275000.0,275000.0,279000.0,312442.5,325000.0,300000.0,346610.0,317000.0
395053,48,"Salt Lake City, UT",msa,UT,,,,,,,,,,,,,,359500.0,394000.0,390000.0,391250.0,390450.0,382196.0,437525.5,377900.0,382000.0,427400.0,400550.0,387500.0,414455.0,409287.5,393637.0,395578.0,397819.0,415000.0,405400.0,439224.5,410000.0,382495.0,397620.0,407900.0,432200.0,427711.0,423496.0,400089.0,427617.0,460450.0,483950.0,539450.0,550000.0,525000.0,585522.5,564900.0,565990.0,544789.0,599142.0,650351.0,617226.0,589178.0,568035.0,561426.5,576825.0,565200.0,570000.0,539990.0,612500.0,549000.0,517495.0,584995.0,544990.0,555892.5,499270.0,545000.0,550500.0,530241.5,505750.0,516010.0,498497.0,530326.0,525000.0,519990.0,510200.0
394388,51,"Birmingham, AL",msa,AL,249875.0,262500.0,259777.5,260740.0,281000.0,260875.0,265000.0,262500.0,297950.0,277500.0,269900.0,282000.0,238897.5,293950.0,262450.0,310465.0,266295.0,298000.0,279394.5,273990.0,275870.0,276810.0,301000.0,251000.0,264240.5,285000.0,264797.5,286100.0,265000.0,264160.0,268250.0,268725.0,283195.0,268900.0,270465.0,287555.0,349947.5,295635.0,310350.0,299500.0,313505.0,295345.0,299595.0,308445.0,310825.0,317515.0,345020.0,357870.0,386720.0,338800.0,336975.0,371185.0,393740.0,403671.0,391385.0,422640.0,426300.0,422092.5,403994.0,386807.0,380100.0,329900.0,337702.5,345000.0,350675.0,319400.0,314500.0,321050.0,326398.0,338877.5,356099.5,351300.0,352400.0,332124.5,339400.0,332373.0,339900.0,344900.0
394640,53,"Grand Rapids, MI",msa,MI,242942.5,252271.0,274500.0,257500.0,260000.0,286185.0,283500.0,297450.0,319900.0,298900.0,314680.0,336479.5,299740.0,323845.0,305000.0,295600.0,296000.0,303900.0,310000.0,294900.0,318242.0,321923.5,317200.0,328604.0,289717.5,289900.0,309900.0,307700.0,299900.0,311720.0,329000.0,311000.0,336900.0,308478.0,329390.0,323675.0,315000.0,329075.0,342125.0,322742.0,356596.0,349900.0,352535.0,362140.0,385000.0,385130.0,396281.0,390000.0,362747.0,381365.0,378225.5,378746.5,399900.0,427450.0,395000.0,432943.0,422720.0,397000.0,429900.0,428147.5,432875.0,401800.0,408900.0,414900.0,457500.0,422650.0,399900.0,433995.0,439450.0,427950.0,423000.0,443461.0,407400.0,426050.0,398555.5,431701.5,435188.0,456000.0
395167,54,"Tucson, AZ",msa,AZ,282443.0,279000.0,278102.0,303971.0,297788.0,299000.0,292750.0,299000.0,261070.0,308060.0,290553.5,290000.0,280742.5,270000.0,299990.0,285495.0,294088.0,276020.0,271357.5,311172.5,296478.0,279400.0,276366.5,277802.5,316027.5,288776.0,285412.5,284455.0,309252.5,303025.0,287360.0,325118.0,328370.0,332651.0,309590.0,341727.5,318267.5,331992.5,349090.0,359105.0,344703.0,369205.0,352500.0,393845.0,372750.0,360000.0,382990.0,382010.0,394230.0,419220.0,378320.0,393388.0,400000.0,407000.0,396817.0,370870.5,406989.0,399619.0,410000.0,409252.0,389850.0,398450.0,418000.0,413338.0,432348.0,400552.5,418595.0,411990.0,399845.0,410000.0,396300.0,411990.0,399995.0,393470.5,395420.0,401215.0,424990.0,399990.0
